Molecule Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
(R)-(+)-β-Citronellol,-14.21110848,-32.03440838,-0.986743703,-0.137667307,-5.78980847,-3.537928979,-3.463547928,0.8994479,-3.457271687,-0.573232785,-2.062239086,1.114900456,2.830335876,-1.604126996,1.757250266
"(1S,2S,3R,5S)-(+)-Pinanediol",-11.99054225,-27.75901241,-26.25764022,-6.202223907,-0.096732039,-23.91461077,-9.544909341,67.49627214,44.58643902,44.78216691,6.467119462,-2.636757744,-14.36107704,2.587041558,-37.28479561
Benzyl (S)-(-)-lactate,-9.200825602,0.12350308,62.73122796,28.95055956,5.505470402,-48.05090057,2.347070923,-9.254001383,-26.94175196,-8.483285745,7.704716972,8.174643064,14.55953327,-3.691915632,2.746403981
(R)-(+)-1-Phenyl-1-butanol,-9.021037272,-44.52038288,-3.186263978,-1.58024719,4.918787693,-4.725731137,-4.210316012,1.981654551,-2.609104475,3.49878645,-2.016087436,-6.182078238,-4.398149508,0.49072943,5.517368858
(S)-(-)-Perillyl alcohol,-12.13297792,-32.69453234,4.099123979,0.415221344,-5.312147856,3.004888586,-3.174078637,1.549061361,8.283154678,-2.160521015,-5.727102634,-2.648210752,-2.962857733,-2.442073964,8.948061203
"(1S,2S,3S,5R)-(+)-Isopinocampheol",-16.20074281,-24.83162198,-34.51603689,-9.362641267,1.250017816,-31.62221285,-11.80212633,90.94292255,61.94086056,60.09719382,10.07658651,-2.84544277,-20.72140541,4.033261545,-51.49597713
(1R)-(+)-α-Pinene,-16.81613062,-37.26728529,-2.177040523,-10.61485354,-0.977399206,0.314481757,-1.96640491,4.979035276,3.014947167,5.76180106,-7.717920947,-1.425847275,-0.961120993,-2.315707813,8.001141957
Ethyl (R)-(-)-mandelate,29.1054722,59.85606684,-136.3057856,29.97464822,37.03592735,-5.630440523,-2.547439609,-30.18641844,-19.02944076,11.71853541,4.670626011,8.278094097,2.486417456,18.51273557,-13.58340745
(1R)-(-)-Camphorquinone,-68.15180259,5.773631533,28.8663125,18.39804205,-10.19152874,-40.43227078,8.525349503,-20.84381718,29.13507556,3.173189466,11.02930571,25.46046436,59.13516202,7.185182878,28.72814594
(1S)-(+)-Camphorquinone,-100.9315723,38.05283243,-27.92539472,9.881254011,12.64346383,-22.16946147,8.307125563,-9.318558468,-13.32757152,33.51235245,-7.756331273,-57.3338713,27.21926679,-14.67518806,7.880252276
(R)-(+)-Perillyl alcohol,-21.28660284,-22.53705589,-13.54944245,2.386117503,-9.708654341,-4.175377361,-0.837957716,0.919922452,-14.58224535,2.905722295,4.438456776,1.895558602,3.671279365,-5.66610396,-9.730748076
(S)-(+)-Carvone,-16.55213525,-20.82831002,-6.846304073,21.9088303,-34.05130778,26.64058082,68.93251392,12.80818477,-16.7455958,1.531213578,0.392782758,9.014549068,-9.807039239,-21.9469236,-8.646170291
(+)-Isoplegol,-23.01500984,-42.36517092,4.273902997,1.309466854,-3.968413661,3.277000925,-2.646445392,-10.23746025,6.999229764,-4.016564903,-3.657378438,-6.496650592,-4.900576909,-10.79947021,10.58481766
(R)-(-)-4-Phenyl-2-butanol,-14.84910574,-38.98147986,-2.872325775,-2.941313341,-1.288272066,-6.290616329,-5.30706629,1.910502732,-4.02888171,-3.50493339,1.422461477,-3.298285535,4.652948677,2.981528743,-2.628149903
(S)-(-)-Citronellal,16.78599969,-15.36759113,11.239645,11.56935662,5.533965587,2.195862243,-3.004154006,0.729266167,1.761840353,1.928443377,-0.730781663,2.251632428,-3.662619716,-7.792589909,-0.129401996
(R)-(-)-4-Phenyl-2-butanol,-14.45063958,-34.94142137,-5.672573333,-10.76285394,0.906051675,2.806776917,-0.798844204,-0.260324186,-2.510656103,1.665068025,-5.765488236,2.859316988,-5.150892423,-7.418727951,6.182449345
